index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,13919,0,695.95,13919,5.74,4.70,9.35,11.79,17.08,3.01,50.79
amazon-music-reviews,8,20,13158,0,657.90,13158,12.16,7.55,20.48,35.99,78.79,14.76,310.18
amazon-music-reviews,12,20,10575,0,528.75,10575,22.69,13.19,48.70,65.84,116.35,22.73,288.19
amazon-music-reviews,16,20,10311,0,515.55,10311,31.04,21.77,64.88,85.72,136.31,27.64,259.68
amazon-music-reviews,20,20,9056,0,452.80,9056,44.16,31.68,92.76,122.77,208.12,40.67,418.84
amazon-music-reviews,24,20,8475,0,423.75,8475,56.65,41.85,120.98,158.75,240.89,50.41,521.08
amazon-music-reviews,32,20,8334,0,416.70,8334,76.84,55.11,164.64,217.35,354.34,73.29,971.90
amazon-music-reviews,40,20,7944,0,397.20,7944,100.77,68.95,218.92,293.41,516.88,104.32,1738.76
amazon-music-reviews,48,20,8857,0,442.85,8857,108.52,73.14,230.62,310.62,633.70,121.24,1582.87
