index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,8833,0,441.65,8833,9.05,7.79,13.90,16.40,26.31,6.01,173.11
amazon-music-reviews,8,20,6246,0,312.30,6246,25.60,16.40,49.47,76.77,143.06,26.30,345.05
amazon-music-reviews,12,20,5250,0,262.50,5250,45.74,28.34,95.55,136.50,218.89,44.09,480.57
amazon-music-reviews,16,20,5225,0,261.25,5225,61.27,43.40,127.13,168.74,265.79,54.34,565.92
amazon-music-reviews,20,20,4820,0,241.00,4820,82.99,59.98,171.56,229.96,377.65,75.33,765.25
amazon-music-reviews,24,20,4157,0,207.85,4157,115.57,86.83,241.75,312.57,489.96,101.85,1314.93
amazon-music-reviews,32,20,4256,0,212.80,4256,150.43,97.29,322.46,435.84,941.15,184.03,2481.47
amazon-music-reviews,40,20,5978,0,298.90,5978,134.15,91.64,288.06,390.59,691.25,139.09,1560.00
amazon-music-reviews,48,20,5107,0,255.35,5107,188.15,116.91,430.24,593.57,1036.02,217.25,2750.72
