index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,4512,0,225.60,4512,17.72,17.20,21.93,23.63,28.48,4.18,74.46
amazon-music-reviews,8,20,3566,0,178.30,3566,44.83,30.48,85.68,125.56,230.09,41.26,421.76
amazon-music-reviews,12,20,3721,0,186.05,3721,64.49,39.19,144.45,206.25,335.14,69.17,755.48
amazon-music-reviews,16,20,3756,0,187.80,3756,85.15,54.89,186.09,242.94,372.93,77.94,778.37
amazon-music-reviews,20,20,4831,0,241.55,4831,82.80,54.34,179.70,243.88,402.60,81.35,696.70
amazon-music-reviews,24,20,3715,0,185.75,3715,129.38,83.51,293.92,393.89,665.09,135.97,1123.92
amazon-music-reviews,32,20,4819,0,240.95,4819,133.10,87.26,296.84,396.86,712.74,141.21,1400.01
amazon-music-reviews,40,20,4855,0,242.75,4855,165.06,114.31,362.21,483.15,802.25,163.59,1539.48
amazon-music-reviews,48,20,3436,0,171.80,3436,280.16,191.15,617.19,852.07,1374.71,292.11,3491.07
