index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,12581,0,629.05,12581,6.36,4.97,8.28,11.92,22.82,9.91,338.66
amazon-music-reviews,8,20,8008,0,400.40,8008,19.97,12.40,37.25,62.11,123.02,23.12,304.24
amazon-music-reviews,12,20,8024,0,401.20,8024,29.90,17.75,63.86,82.51,129.79,26.50,293.80
amazon-music-reviews,16,20,7978,0,398.90,7978,40.12,30.16,82.59,105.95,158.70,32.97,344.00
amazon-music-reviews,20,20,6573,0,328.65,6573,60.86,43.68,128.11,165.72,285.98,56.09,661.16
amazon-music-reviews,24,20,6094,0,304.70,6094,78.78,58.80,166.85,213.88,336.77,71.27,884.31
amazon-music-reviews,32,20,7764,0,388.20,7764,82.54,55.99,174.38,238.74,444.20,89.57,1409.98
amazon-music-reviews,40,20,5970,0,298.50,5970,134.14,89.76,290.94,389.85,738.93,147.39,1938.70
amazon-music-reviews,48,20,5288,0,264.40,5288,181.85,119.60,385.55,543.84,1099.09,209.53,3173.95
