index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,3344,0,167.20,3344,23.92,24.09,31.44,34.57,44.26,7.24,87.52
amazon-music-reviews,8,20,5895,0,294.75,5895,27.14,18.40,50.30,69.20,143.21,26.25,443.93
amazon-music-reviews,12,20,5225,0,261.25,5225,45.90,25.40,104.82,149.02,283.70,54.74,788.62
amazon-music-reviews,16,20,5264,0,263.20,5264,60.87,40.11,130.75,173.58,278.21,56.59,706.43
amazon-music-reviews,20,20,4358,0,217.90,4358,91.88,64.57,194.21,262.61,437.73,88.10,855.68
amazon-music-reviews,24,20,5497,0,274.85,5497,87.35,57.94,186.44,257.89,469.67,94.29,1238.63
amazon-music-reviews,32,20,4024,0,201.20,4024,159.95,109.81,367.53,468.64,739.97,157.61,1257.81
amazon-music-reviews,40,20,4897,0,244.85,4897,163.53,107.08,365.01,489.07,863.65,176.09,2236.78
amazon-music-reviews,48,20,4233,0,211.65,4233,227.74,154.36,510.41,686.19,1208.23,237.73,2076.93
