index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,3505,0,175.25,3505,22.84,21.47,29.51,33.72,43.16,5.69,65.03
amazon-music-reviews,8,20,4545,0,227.25,4545,35.18,31.24,52.72,59.93,77.94,13.76,155.72
amazon-music-reviews,12,20,3219,0,160.95,3219,74.65,57.65,127.75,197.46,382.26,70.12,1024.58
amazon-music-reviews,16,20,2578,0,128.90,2578,124.39,73.10,279.03,394.85,780.52,146.09,1311.41
amazon-music-reviews,20,20,3350,0,167.50,3350,119.44,58.59,287.45,409.59,742.43,145.39,1402.63
amazon-music-reviews,24,20,3597,0,179.85,3597,133.81,70.79,323.80,445.16,783.45,157.20,1630.42
amazon-music-reviews,32,20,2256,0,112.80,2256,284.94,197.69,620.09,781.84,1277.36,261.84,2187.72
amazon-music-reviews,40,20,1827,0,91.35,1827,440.72,313.25,953.90,1214.75,1928.65,410.67,3507.52
amazon-music-reviews,48,20,1853,0,92.65,1853,521.42,357.34,1112.07,1466.79,2868.92,554.80,5689.67
