index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,0,14111,0.00,14111,5.67,4.67,5.93,6.71,15.59,14.04,625.22
amazon-music-reviews,8,20,0,9893,0.00,9893,16.17,9.44,19.02,33.80,149.39,41.54,1349.57
amazon-music-reviews,12,20,0,8593,0.00,8593,27.92,18.30,59.67,77.58,118.26,24.67,286.60
amazon-music-reviews,16,20,0,8084,0.00,8084,39.58,30.33,82.69,104.37,156.39,32.38,354.56
amazon-music-reviews,20,20,0,7115,0.00,7115,56.24,43.33,116.81,147.04,218.37,46.72,484.85
amazon-music-reviews,24,20,0,6764,0.00,6764,70.99,52.63,150.25,190.41,304.02,63.95,671.45
amazon-music-reviews,32,20,0,6741,0.00,6741,95.03,66.92,197.51,271.49,471.70,94.39,1100.70
amazon-music-reviews,40,20,0,5995,0.00,5995,133.59,87.37,288.56,392.69,718.52,144.87,1890.91
amazon-music-reviews,48,20,0,5738,0.00,5738,167.74,108.46,348.22,486.53,1050.05,206.92,2375.51
