index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,12684,0,634.20,12684,6.30,4.95,8.20,12.99,20.09,10.44,430.88
amazon-music-reviews,8,20,15249,0,762.45,15249,10.49,7.40,16.95,29.72,63.69,11.79,329.59
amazon-music-reviews,12,20,12217,0,610.85,12217,19.64,11.23,42.41,56.43,87.58,17.77,171.62
amazon-music-reviews,16,20,10315,0,515.75,10315,31.04,22.14,64.90,84.93,135.23,27.45,262.98
amazon-music-reviews,20,20,10518,0,525.90,10518,38.04,28.44,79.23,102.34,159.68,32.70,351.38
amazon-music-reviews,24,20,10134,0,506.70,10134,47.38,35.78,99.62,127.38,204.22,40.84,451.83
amazon-music-reviews,32,20,7265,0,363.25,7265,88.17,62.83,193.80,250.06,395.68,82.57,816.59
amazon-music-reviews,40,20,6722,0,336.10,6722,119.13,79.41,255.80,344.47,652.87,132.38,1769.59
amazon-music-reviews,48,20,7895,0,394.75,7895,121.73,81.23,257.64,351.19,691.58,139.53,2236.77
