index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,10557,0,527.85,10557,7.57,7.07,9.98,11.06,13.94,2.16,45.65
amazon-music-reviews,8,20,8589,0,429.45,8589,18.62,12.21,30.69,49.82,119.95,22.91,409.83
amazon-music-reviews,12,20,5558,0,277.90,5558,43.19,27.10,91.83,132.14,263.45,48.71,542.66
amazon-music-reviews,16,20,3381,0,169.05,3381,94.72,59.36,204.47,270.93,391.15,85.41,860.21
amazon-music-reviews,20,20,5892,0,294.60,5892,67.88,47.32,141.05,188.72,375.06,72.49,821.62
amazon-music-reviews,24,20,5264,0,263.20,5264,91.32,66.51,195.58,252.33,386.20,81.82,820.10
amazon-music-reviews,32,20,5568,0,278.40,5568,115.03,80.27,243.55,323.43,575.22,114.12,1457.75
amazon-music-reviews,40,20,5535,0,276.75,5535,144.70,98.76,312.62,422.66,768.18,151.08,1659.49
amazon-music-reviews,48,20,5002,0,250.10,5002,192.28,126.54,422.22,576.35,1137.06,221.71,3437.38
