index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,9549,0,477.45,9549,8.37,6.23,15.42,19.03,34.23,6.35,122.33
amazon-music-reviews,8,20,11722,0,586.10,11722,13.64,8.63,25.49,40.43,78.85,15.46,362.05
amazon-music-reviews,12,20,12003,0,600.15,12003,19.99,11.42,43.82,57.65,89.71,18.28,188.04
amazon-music-reviews,16,20,9799,0,489.95,9799,32.65,23.10,67.67,91.31,158.67,30.61,341.33
amazon-music-reviews,20,20,10514,0,525.70,10514,38.06,28.63,78.25,100.59,148.45,31.43,325.54
amazon-music-reviews,24,20,10637,0,531.85,10637,45.14,34.18,93.11,120.78,185.69,38.59,495.03
amazon-music-reviews,32,20,7099,0,354.95,7099,90.20,63.50,200.36,256.85,404.42,84.25,859.46
amazon-music-reviews,40,20,9047,0,452.35,9047,88.44,61.16,187.63,251.04,454.43,91.70,1322.63
amazon-music-reviews,48,20,4508,0,225.40,4508,213.41,137.20,490.61,665.97,1045.84,230.91,2858.30
