index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,0,9441,0.00,9441,8.47,5.97,14.76,18.23,39.40,10.54,226.67
amazon-music-reviews,8,20,0,7501,0.00,7501,21.31,11.32,38.17,68.21,161.59,30.24,499.09
amazon-music-reviews,12,20,0,5602,0.00,5602,42.83,28.48,91.87,129.31,223.64,45.04,457.81
amazon-music-reviews,16,20,0,5664,0.00,5664,56.50,38.90,122.38,163.20,263.94,54.04,492.15
amazon-music-reviews,20,20,0,5506,0.00,5506,72.68,51.58,154.22,203.26,328.93,67.80,670.87
amazon-music-reviews,24,20,0,4744,0.00,4744,101.26,72.65,215.00,285.59,469.98,96.05,1190.62
amazon-music-reviews,32,20,0,3857,0.00,3857,166.10,113.24,351.67,482.03,866.97,174.21,1855.53
amazon-music-reviews,40,20,0,4281,0.00,4281,187.16,125.41,409.87,546.28,970.67,194.60,2442.14
amazon-music-reviews,48,20,0,4390,0.00,4390,219.50,140.44,457.78,686.02,1328.48,271.16,3924.99
