index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,2778,0,138.90,2778,28.80,27.57,33.16,36.91,45.61,8.23,226.62
amazon-music-reviews,8,20,4256,0,212.80,4256,37.60,35.57,48.38,53.44,66.92,8.42,113.88
amazon-music-reviews,12,20,4157,0,207.85,4157,57.79,48.67,88.87,109.30,167.82,27.64,358.06
amazon-music-reviews,16,20,3200,0,160.00,3200,100.06,62.51,200.93,295.29,508.15,96.37,1376.77
amazon-music-reviews,20,20,2710,0,135.50,2710,147.86,72.19,355.08,552.22,945.21,181.17,1451.90
amazon-music-reviews,24,20,2908,0,145.40,2908,165.26,73.77,413.02,586.08,966.53,200.59,1984.03
amazon-music-reviews,32,20,2342,0,117.10,2342,273.95,184.35,633.46,828.60,1219.44,266.12,1857.16
amazon-music-reviews,40,20,2482,0,124.10,2482,324.50,228.93,706.51,951.39,1541.01,319.47,2817.41
amazon-music-reviews,48,20,2341,0,117.05,2341,411.78,285.18,920.33,1238.87,1957.59,412.52,3421.66
