index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,9576,0,478.80,9576,8.35,6.50,15.44,18.34,25.05,5.32,124.24
amazon-music-reviews,8,20,6237,0,311.85,6237,25.63,16.83,50.59,72.10,132.17,25.48,341.10
amazon-music-reviews,12,20,5367,0,268.35,5367,44.69,28.01,95.67,130.27,220.88,44.65,583.55
amazon-music-reviews,16,20,5873,0,293.65,5873,54.62,40.01,114.45,148.89,219.04,45.81,380.18
amazon-music-reviews,20,20,4198,0,209.90,4198,95.28,69.64,206.88,259.91,396.42,82.22,633.33
amazon-music-reviews,24,20,5120,0,256.00,5120,93.77,65.76,201.43,272.06,425.24,87.43,760.31
amazon-music-reviews,32,20,4307,0,215.35,4307,148.92,101.12,327.57,449.64,722.68,153.45,1911.93
amazon-music-reviews,40,20,3686,0,184.30,3686,218.15,141.08,494.85,670.67,1176.03,236.01,2768.44
amazon-music-reviews,48,20,3456,0,172.80,3456,279.47,178.76,584.67,824.18,1759.70,345.29,4833.21
