index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,7952,0,397.60,7952,10.05,8.32,15.58,19.26,28.40,4.61,44.96
amazon-music-reviews,8,20,7094,0,354.70,7094,22.54,15.03,39.11,61.40,135.43,23.36,329.70
amazon-music-reviews,12,20,5758,0,287.90,5758,41.70,24.47,91.35,125.56,197.34,40.31,511.66
amazon-music-reviews,16,20,4948,0,247.40,4948,64.66,42.96,138.73,192.40,299.68,61.46,640.27
amazon-music-reviews,20,20,4114,0,205.70,4114,97.29,71.83,202.70,268.95,400.58,83.53,838.64
amazon-music-reviews,24,20,4526,0,226.30,4526,106.15,73.92,228.65,300.36,498.64,105.74,1231.41
amazon-music-reviews,32,20,5133,0,256.65,5133,124.86,78.27,276.50,403.89,713.06,143.69,2196.71
amazon-music-reviews,40,20,4709,0,235.45,4709,170.56,116.13,386.25,503.70,809.16,170.18,1610.80
amazon-music-reviews,48,20,4370,0,218.50,4370,219.84,141.58,459.52,668.54,1359.71,270.14,3708.07
