index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,11655,0,582.75,11655,6.86,6.31,9.98,11.33,15.25,2.55,49.37
amazon-music-reviews,8,20,10167,0,508.35,10167,15.73,10.18,30.01,45.51,86.64,17.04,302.87
amazon-music-reviews,12,20,7373,0,368.65,7373,32.56,18.75,72.34,101.10,174.99,34.66,333.77
amazon-music-reviews,16,20,3220,0,161.00,3220,99.47,67.67,216.30,270.14,415.84,86.17,709.25
amazon-music-reviews,20,20,2946,0,147.30,2946,135.99,105.33,274.37,358.95,549.84,112.91,1052.91
amazon-music-reviews,24,20,2802,0,140.10,2802,171.47,130.14,350.98,453.07,665.57,141.66,1445.99
amazon-music-reviews,32,20,2692,0,134.60,2692,238.04,165.92,518.35,674.46,1084.40,226.77,2186.06
amazon-music-reviews,40,20,2596,0,129.80,2596,309.20,221.03,675.10,890.92,1391.42,289.94,2338.04
amazon-music-reviews,48,20,2440,0,122.00,2440,394.96,271.81,895.21,1163.37,1765.06,380.33,3099.84
