index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,4206,0,210.30,4206,19.01,16.73,28.06,37.99,51.30,8.36,96.84
amazon-music-reviews,8,20,4022,0,201.10,4022,39.79,27.85,71.61,109.51,203.55,36.64,501.47
amazon-music-reviews,12,20,5670,0,283.50,5670,42.25,27.57,94.45,132.75,223.99,45.98,564.06
amazon-music-reviews,16,20,6644,0,332.20,6644,48.19,30.53,104.99,145.88,259.51,51.93,602.27
amazon-music-reviews,20,20,7480,0,374.00,7480,53.52,39.18,111.98,148.27,241.28,48.68,638.09
amazon-music-reviews,24,20,5373,0,268.65,5373,89.42,61.98,187.53,267.19,434.30,87.79,920.79
amazon-music-reviews,32,20,5590,0,279.50,5590,114.56,79.19,249.03,323.67,533.44,109.88,1305.26
amazon-music-reviews,40,20,5935,0,296.75,5935,134.95,92.33,287.50,394.80,710.97,143.81,1812.74
amazon-music-reviews,48,20,5546,0,277.30,5546,173.37,114.80,379.92,513.93,984.42,192.95,2237.29
