index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,4626,0,231.30,4626,17.28,16.78,19.36,21.22,31.33,3.05,79.56
amazon-music-reviews,8,20,7742,0,387.10,7742,20.66,19.82,24.88,27.84,33.95,3.76,70.62
amazon-music-reviews,12,20,6398,0,319.90,6398,37.51,26.43,64.92,91.32,157.20,27.29,304.44
amazon-music-reviews,16,20,5134,0,256.70,5134,62.36,31.98,145.16,205.78,343.09,67.40,684.80
amazon-music-reviews,20,20,4912,0,245.60,4912,81.50,37.42,199.01,266.21,410.54,85.76,745.60
amazon-music-reviews,24,20,4031,0,201.55,4031,119.16,73.77,265.19,372.24,586.94,120.17,1152.28
amazon-music-reviews,32,20,3505,0,175.25,3505,182.91,123.16,393.85,519.20,889.03,183.01,2127.81
amazon-music-reviews,40,20,4045,0,202.25,4045,198.27,137.05,421.52,562.51,1004.33,202.24,2374.22
amazon-music-reviews,48,20,4001,0,200.05,4001,241.14,165.46,514.93,702.34,1315.88,258.51,2888.64
