index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,11843,0,592.15,11843,6.75,5.34,8.10,11.32,18.52,12.76,515.13
amazon-music-reviews,8,20,10685,0,534.25,10685,14.96,10.01,26.25,41.79,81.98,15.23,271.67
amazon-music-reviews,12,20,8267,0,413.35,8267,29.03,16.39,62.74,88.63,164.50,32.02,520.75
amazon-music-reviews,16,20,5738,0,286.90,5738,55.82,37.94,122.34,166.40,265.16,53.70,485.13
amazon-music-reviews,20,20,6892,0,344.60,6892,58.11,38.51,127.12,179.46,295.60,60.21,779.57
amazon-music-reviews,24,20,7645,0,382.25,7645,62.77,45.42,132.30,177.57,288.17,59.97,1206.77
amazon-music-reviews,32,20,4995,0,249.75,4995,128.63,85.02,290.57,379.10,650.32,132.67,1380.39
amazon-music-reviews,40,20,4382,0,219.10,4382,182.77,118.75,402.79,547.23,957.34,193.04,1874.45
amazon-music-reviews,48,20,4585,0,229.25,4585,209.58,137.41,453.52,654.16,1157.72,232.89,2915.87
