index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,10196,0,509.80,10196,7.84,6.12,12.35,17.94,28.52,7.44,205.31
amazon-music-reviews,8,20,7024,0,351.20,7024,22.77,13.31,45.23,68.31,155.36,27.28,389.68
amazon-music-reviews,12,20,6422,0,321.10,6422,37.37,23.54,80.36,107.93,170.00,34.74,371.29
amazon-music-reviews,16,20,6501,0,325.05,6501,49.23,34.43,104.22,133.73,212.35,44.08,545.04
amazon-music-reviews,20,20,5334,0,266.70,5334,75.03,52.14,164.47,214.04,340.66,69.82,649.06
amazon-music-reviews,24,20,6293,0,314.65,6293,76.29,56.94,160.99,208.66,325.03,67.16,610.64
amazon-music-reviews,32,20,6439,0,321.95,6439,99.50,72.02,209.54,284.85,465.67,94.40,1019.18
amazon-music-reviews,40,20,4945,0,247.25,4945,162.01,107.46,364.66,488.21,784.27,165.54,1820.32
amazon-music-reviews,48,20,3123,0,156.15,3123,309.69,215.08,703.91,921.10,1327.47,301.77,2840.98
