index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,0,11732,0.00,11732,6.82,4.61,10.94,17.93,38.89,8.27,208.86
amazon-music-reviews,8,20,0,6882,0.00,6882,23.23,14.53,46.71,74.28,151.96,28.94,436.54
amazon-music-reviews,12,20,0,6318,0.00,6318,37.98,24.44,83.82,112.24,183.83,37.40,460.96
amazon-music-reviews,16,20,0,7785,0.00,7785,41.10,28.51,84.92,113.09,198.82,41.53,762.92
amazon-music-reviews,20,20,0,5336,0.00,5336,74.97,57.71,154.00,197.47,310.06,62.96,622.62
amazon-music-reviews,24,20,0,5026,0.00,5026,95.58,68.49,201.10,263.08,450.08,90.48,877.84
amazon-music-reviews,32,20,0,5448,0.00,5448,117.52,84.46,251.77,336.65,536.25,113.87,2191.87
amazon-music-reviews,40,20,0,6223,0.00,6223,128.83,80.50,282.41,395.08,774.11,156.08,2718.32
amazon-music-reviews,48,20,0,4445,0.00,4445,216.16,130.44,490.43,689.43,1365.84,264.68,3096.15
