index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,2986,0,149.30,2986,26.79,24.36,32.75,37.13,43.96,13.36,262.12
amazon-music-reviews,8,20,4066,0,203.30,4066,39.37,35.53,55.93,62.21,79.62,12.26,136.12
amazon-music-reviews,12,20,4202,0,210.10,4202,57.13,47.97,87.91,107.52,195.51,29.69,277.14
amazon-music-reviews,16,20,4134,0,206.70,4134,77.43,46.07,160.12,232.59,393.07,74.34,793.49
amazon-music-reviews,20,20,3461,0,173.05,3461,115.84,56.83,279.94,401.43,776.49,144.04,1428.43
amazon-music-reviews,24,20,3580,0,179.00,3580,134.26,56.88,331.79,454.60,743.96,154.90,1835.15
amazon-music-reviews,32,20,3286,0,164.30,3286,195.27,124.50,435.22,591.02,893.84,189.10,1499.85
amazon-music-reviews,40,20,3072,0,153.60,3072,261.45,181.55,563.05,730.99,1283.15,262.85,3214.93
amazon-music-reviews,48,20,4021,0,201.05,4021,240.07,143.57,532.89,765.62,1455.22,310.55,4622.91
