index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,0,8701,0.00,8701,9.19,6.44,16.10,19.57,39.40,12.25,532.19
amazon-music-reviews,8,20,0,6645,0.00,6645,24.09,13.38,44.36,78.78,175.22,32.68,478.50
amazon-music-reviews,12,20,0,5621,0.00,5621,42.68,28.12,90.14,123.42,212.10,42.40,451.52
amazon-music-reviews,16,20,0,6360,0.00,6360,50.31,37.44,103.45,135.76,206.86,43.37,552.54
amazon-music-reviews,20,20,0,7458,0.00,7458,53.69,39.49,111.79,145.96,241.51,48.58,428.82
amazon-music-reviews,24,20,0,6859,0.00,6859,69.99,48.71,153.22,204.86,319.29,66.14,621.63
amazon-music-reviews,32,20,0,7260,0.00,7260,88.23,63.03,190.89,250.41,403.99,82.66,839.98
amazon-music-reviews,40,20,0,6193,0.00,6193,129.06,88.73,278.14,375.11,663.07,136.04,2112.48
amazon-music-reviews,48,20,0,5272,0.00,5272,182.43,120.05,404.71,545.55,962.93,191.77,2182.26
