index,concurrency,duration_s,requests_ok,requests_err,throughput_qps,samples,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,stdev_ms,max_ms
amazon-music-reviews,4,20,5680,0,284.00,5680,14.08,12.34,21.87,26.76,37.70,6.13,56.12
amazon-music-reviews,8,20,6819,0,340.95,6819,23.46,16.45,42.13,59.80,120.21,23.94,511.40
amazon-music-reviews,12,20,7066,0,353.30,7066,33.96,18.51,76.41,110.95,198.97,40.06,588.22
amazon-music-reviews,16,20,5491,0,274.55,5491,58.36,38.09,128.50,167.08,272.21,54.74,584.18
amazon-music-reviews,20,20,3046,0,152.30,3046,131.35,87.68,289.03,395.17,619.62,129.36,1228.62
amazon-music-reviews,24,20,3883,0,194.15,3883,124.01,82.22,279.10,372.02,602.57,122.53,1046.51
amazon-music-reviews,32,20,3962,0,198.10,3962,161.68,107.32,355.09,490.84,843.96,170.92,1515.39
amazon-music-reviews,40,20,3101,0,155.05,3101,259.69,169.28,592.99,803.42,1222.80,272.74,2510.50
amazon-music-reviews,48,20,3607,0,180.35,3607,267.19,172.91,604.63,838.99,1455.09,303.44,4647.75
